StudentName,Attendance,StudyHours,InternalMarks,AssignmentMarks,PreviousMarks,FinalScore
Deepak Kulkarni 396,75.8,5.0,61.4,70.2,76.0,70.7
Diya Mane 397,83.8,2.8,76.6,58.8,68.9,58.7
Gaurav Wagh 398,65.1,1.0,64.5,56.7,54.6,51.3
Harsh Joshi 399,68.6,4.2,65.7,73.8,98.0,70.7
Isha Salunkhe 400,88.3,1.5,72.3,44.4,91.1,76.7
Ishaan Patil 401,82.8,4.3,87.0,73.9,90.2,78.8
Karan More 402,82.9,3.8,68.1,78.9,75.7,68.9
Kavya Sawant 403,85.0,7.4,73.5,71.0,83.3,73.2
Krishna Deshmukh 404,94.0,4.3,67.8,61.2,64.6,66.2
Manas Kadam 405,79.2,4.3,76.5,73.3,61.8,64.9
Manav Desai 406,66.2,2.6,76.0,59.4,49.4,53.6
Mayur Jadhav 407,57.8,4.1,81.9,81.4,55.5,63.0
Meera Chavan 408,69.6,5.8,98.0,63.0,65.7,70.8
Mihir Kale 409,82.0,6.2,56.0,63.8,51.9,55.7
Neha Shinde 410,81.8,6.6,94.2,79.3,58.1,75.0
Nikhil Gaikwad 411,81.6,2.3,59.6,79.0,63.0,53.6
Nikita Thorat 412,67.7,5.0,62.0,88.6,64.3,68.4
Om Pawar 413,58.4,3.9,93.6,85.0,90.1,79.1
Pooja Bhosale 414,86.5,3.8,67.1,58.4,73.7,72.0
Pranav Lokhande 415,76.2,2.5,56.2,92.5,78.0,66.8
Prathamesh Kulkarni 416,81.4,5.8,98.0,72.0,60.2,80.1
Rahul Mane 417,84.8,4.6,78.0,68.9,48.6,71.3
Riya Wagh 418,82.0,4.5,64.1,68.6,67.5,54.9
Rohan Joshi 419,80.8,5.8,60.7,70.0,73.6,67.1
Rohit Salunkhe 420,72.7,4.0,83.7,69.0,62.0,74.6
Sachin Patil 421,85.5,4.9,70.3,74.5,62.6,70.7
Sahil More 422,85.6,6.9,57.0,69.2,75.0,68.2
Samarth Sawant 423,69.7,3.9,47.8,81.9,67.4,63.2
Sanjay Deshmukh 424,84.7,4.0,87.6,82.3,80.9,76.8
Sarthak Kadam 425,63.5,5.3,74.5,72.8,76.0,69.9
Shreya Desai 426,51.7,6.4,77.9,84.4,61.7,75.7
Sneha Jadhav 427,88.3,6.4,44.6,65.9,75.6,74.5
Tanmay Chavan 428,90.9,4.4,76.1,69.5,74.7,74.6
Tejas Kale 429,75.4,1.6,70.2,97.0,61.0,59.1
Vaishnavi Shinde 430,83.9,5.1,98.0,66.3,70.5,77.3
Vedant Gaikwad 431,60.3,6.3,96.8,77.3,79.6,84.5
Yash Thorat 432,70.7,5.2,95.7,74.0,46.5,62.9
Aarav Pawar 433,73.7,2.4,80.3,78.0,57.4,62.1
Aditi Bhosale 434,91.7,2.4,52.9,63.3,51.1,50.8
Aditya Lokhande 435,82.2,1.6,71.6,79.4,70.1,50.7
Akash Kulkarni 436,82.5,3.0,60.6,100.0,71.3,56.2
Akshay Mane 437,67.0,3.5,87.6,81.8,59.9,62.3
Aman Wagh 438,82.5,4.2,83.8,60.3,73.2,70.2
Amol Joshi 439,76.9,2.9,78.6,78.9,67.9,59.2
Ananya Salunkhe 440,78.5,6.9,75.0,81.4,70.0,66.7
Aniket Patil 441,64.5,1.4,71.4,70.0,49.9,55.4
Anjali More 442,100.0,5.9,63.6,52.8,56.3,65.0
Ansh Sawant 443,75.6,8.5,65.3,89.3,79.9,88.3
Arjun Deshmukh 444,88.5,6.7,72.9,62.0,80.3,79.4
Aryan Kadam 445,76.7,3.9,76.4,67.5,63.3,70.4
Ashish Desai 446,76.4,3.4,69.5,82.3,52.3,53.9
Avani Jadhav 447,64.5,2.8,52.2,77.0,98.0,71.1
Bhakti Chavan 448,58.5,2.7,72.3,76.3,48.6,58.5
Chetan Kale 449,72.6,5.2,83.6,85.3,81.6,74.0
Deepak Shinde 450,94.4,3.7,78.8,74.1,72.6,71.6
Diya Gaikwad 451,80.6,5.6,80.2,51.7,75.6,69.2
Gaurav Thorat 452,68.7,6.1,70.4,84.6,40.4,67.0
Harsh Pawar 453,63.1,4.3,68.4,93.3,71.2,74.0
Isha Bhosale 454,78.9,4.2,73.0,68.6,70.1,72.9
Ishaan Lokhande 455,69.1,3.8,65.2,87.1,78.2,58.6
Karan Kulkarni 456,76.3,5.7,61.1,76.0,73.4,67.0
Kavya Mane 457,71.0,4.2,87.3,68.6,47.1,60.9
Krishna Wagh 458,77.5,3.8,82.8,71.1,77.9,67.0
Manas Joshi 459,81.1,3.8,73.8,68.8,88.5,79.5
Manav Salunkhe 460,80.1,6.1,62.8,73.6,90.8,67.7
Mayur Patil 461,81.7,5.3,59.3,83.0,76.9,64.6
Meera More 462,86.5,4.5,74.9,62.1,62.7,69.2
Mihir Sawant 463,87.2,3.6,88.2,84.1,65.1,84.7
Neha Deshmukh 464,91.6,6.6,60.8,71.9,78.3,70.7
Nikhil Kadam 465,62.3,1.9,81.5,77.6,90.1,65.1
Nikita Desai 466,74.9,2.7,68.0,55.1,63.3,52.6
Om Jadhav 467,100.0,4.5,64.7,87.1,62.4,74.9
Pooja Chavan 468,67.1,3.4,56.7,79.7,71.3,69.3
Pranav Kale 469,100.0,2.7,64.2,86.5,79.1,74.1
Prathamesh Shinde 470,63.5,5.7,79.8,84.5,69.9,62.3
Rahul Gaikwad 471,78.7,3.7,83.8,77.0,61.0,66.5
Riya Thorat 472,85.1,4.4,81.9,72.8,82.1,70.4
Rohan Pawar 473,78.6,5.3,57.5,78.5,55.2,65.0
Rohit Bhosale 474,69.2,6.3,38.7,69.4,96.0,69.9
Sachin Lokhande 475,69.7,6.3,74.3,74.4,80.2,76.3
Sahil Kulkarni 476,78.4,5.6,70.9,81.5,89.1,69.5
Samarth Mane 477,78.3,6.1,72.2,86.7,87.2,76.1
Sanjay Wagh 478,77.7,6.2,71.5,85.7,68.6,69.4
Sarthak Joshi 479,92.0,6.1,70.4,67.2,85.4,83.0
Shreya Salunkhe 480,75.2,5.7,80.9,71.8,68.3,84.6
Sneha Patil 481,58.4,3.9,68.9,52.2,55.7,62.7
Tanmay More 482,64.6,4.4,56.3,84.0,87.4,73.2
Tejas Sawant 483,73.4,4.6,98.0,60.6,81.2,78.6
Vaishnavi Deshmukh 484,76.4,6.2,54.7,55.9,53.2,55.5
Vedant Kadam 485,88.5,4.6,76.7,60.9,86.2,70.7
Yash Desai 486,69.6,2.8,60.4,63.0,70.8,57.2
Aarav Jadhav 487,75.4,5.1,74.8,68.2,79.7,74.9
Aditi Chavan 488,62.4,6.1,75.5,69.4,54.5,61.4
Aditya Kale 489,75.5,5.7,74.0,90.4,57.1,68.3
Akash Shinde 490,76.6,6.5,72.6,66.4,66.9,73.8
Akshay Gaikwad 491,67.4,5.8,75.8,87.4,96.7,81.8
Aman Thorat 492,62.2,4.5,68.2,73.0,72.2,75.8
Amol Pawar 493,88.8,5.1,57.6,72.7,73.4,79.4
Ananya Bhosale 494,95.8,4.8,73.3,89.8,86.1,78.3
Aniket Lokhande 495,93.6,3.6,75.4,64.5,47.3,62.5
Anjali Kulkarni 496,85.5,5.7,86.4,53.9,55.9,67.4
Ansh Mane 497,65.8,5.5,71.1,75.8,42.5,70.9
Arjun Wagh 498,86.3,6.0,70.1,70.8,92.3,76.7
Aryan Joshi 499,73.8,7.0,73.6,80.8,56.1,75.6
Ashish Salunkhe 500,80.8,4.5,70.4,79.8,80.8,69.2
